"","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","Y","X_11"
"21404",1691,"2","3","1","7","1",1,0,"5","2","A",890
"129398",1690,"98","1","1","5","1",2,0,"9","1","B",140
"70088",2095,"1","3","1","5","1",1,0,"3","1","B",1016
"17012",1120,"3","1","4","9","1",0,0,"5","4","A",1498
"61601",1548,"99","1","1","9","2",0,0,"6","1","B",399
"109462",2054,"2","1","1","9","3",2,0,"3","1","B",3
"156043",1385,"2","1","1","9","3",1,0,"3","1","A",926
"50802",1975,"2","2","1","10","1",1,0,"3","1","C",1276
"162307",2030,"1","3","1","9","1",0,0,"98","1","B",250
"119397",2012,"3","1","1","9","1",0,0,"3","1","A",1557
"115218",1585,"3","1","1","7","1",0,0,"3","1","A",926
"122613",1755,"1","2","8","5","1",0,0,"5","1","A",891
"29780",1099,"1","3","1","8","1",0,0,"12","1","B",1679
"152580",1621,"2","3","1","6","1",3,0,"6","1","A",1813
"137469",1956,"2","3","1","5","1",0,0,"3","1","B",131
"118194",2113,"1","3","1","5","1",0,0,"3","1","A",1135
"2665",2085,"1","3","1","5","1",0,0,"98","1","A",506
"15369",1602,"2","2","1","7","1",0,0,"3","1","C",1611
"166719",2037,"3","3","1","9","1",1,0,"13","1","A",924
"148490",2035,"1","3","1","9","1",1,0,"3","1","A",923
"32583",1545,"1","3","1","9","1",0,0,"5","1","C",700
"15606",1861,"1","3","1","9","5",0,0,"8","1","B",606
"74280",2080,"3","2","1","6","1",0,0,"6","1","A",1813
"65093",1664,"3","1","8","9","1",0,0,"3","1","B",1184
"23035",1830,"1","1","1","6","1",2,0,"4","1","C",173
"66558",1965,"4","3","1","6","1",0,0,"9","1","B",61
"80185",1761,"2","3","2","7","1",1,0,"98","2","B",1613
"36871",2000,"1","3","1","5","1",0,0,"5","1","B",1040
"58615",1886,"1","1","1","9","1",0,0,"12","1","C",455
"155502",1759,"1","3","1","9","5",0,0,"3","1","A",1460
"119362",1894,"2","2","1","9","5",1,0,"3","1","B",163
"156433",1277,"1","3","1","9","1",2,0,"3","1","A",1343
"59174",2110,"2","3","1","9","1",0,0,"98","1","B",527
"76084",1984,"1","3","1","9","1",0,0,"3","1","A",1137
"21847",1222,"3","1","1","7","2",0,0,"3","1","C",599
"79101",1757,"3","2","1","9","3",0,0,"11","1","B",149
"45979",1629,"3","1","1","10","3",0,0,"3","1","C",1889
"99443",1810,"3","1","2","7","1",1,0,"3","2","A",1932
"16698",1503,"1","1","1","10","1",2,0,"15","1","C",1846
"125104",1343,"1","3","1","9","1",1,0,"98","1","B",1762
"40992",1737,"3","2","1","99","1",2,1,"98","1","A",494
"72248",1113,"1","3","4","9","1",0,0,"3","4","A",249
"26614",1965,"1","3","2","5","1",0,0,"98","2","A",1358
"161038",1740,"2","2","1","8","1",0,0,"98","1","A",252
"103256",1735,"2","3","2","5","1",0,0,"3","2","C",240
"68686",2127,"1","2","1","5","6",1,0,"5","1","B",769
"169773",2000,"3","1","1","7","1",0,0,"3","1","B",10
"30692",1620,"3","3","1","9","1",0,0,"3","1","B",1242
"150692",1224,"3","1","1","9","1",0,0,"3","1","A",1239
"11164",1251,"2","3","1","9","1",0,0,"3","1","C",1859
"59787",1728,"2","2","1","9","1",0,0,"3","1","B",637
"131073",1563,"3","3","2","10","3",0,0,"12","2","A",1813
"166192",1699,"3","1","1","7","2",0,0,"3","1","A",542
"104757",2078,"3","1","1","9","3",2,0,"13","1","A",1927
"23321",1958,"2","1","1","10","1",1,0,"3","1","C",1745
"145201",1882,"2","1","1","9","1",0,0,"98","1","A",1186
"101321",1637,"2","1","2","9","1",2,0,"5","2","A",1185
"52495",1459,"1","3","4","9","3",0,0,"3","4","C",248
"93653",1833,"2","3","3","5","1",0,0,"98","1","B",323
"142354",1248,"2","1","1","9","1",0,0,"5","1","B",678
"168126",1945,"2","3","8","9","1",0,0,"5","1","A",1560
"156339",1219,"1","2","1","9","1",1,0,"5","1","A",1700
"78399",1265,"1","1","1","5","1",0,0,"3","1","B",195
"128648",1471,"2","2","1","9","1",1,0,"4","1","A",1206
"48827",1424,"2","1","1","7","4",0,0,"3","1","C",1071
"146428",1891,"3","1","1","9","1",0,0,"3","1","A",1895
"45167",1968,"2","1","1","9","2",0,0,"3","1","B",1124
"138367",1939,"3","1","1","9","1",0,0,"3","1","A",542
"18591",1370,"2","2","1","9","1",0,0,"3","1","B",1226
"89154",1196,"3","3","1","6","1",1,0,"6","1","A",1927
"56583",1236,"2","1","1","9","1",0,0,"3","1","A",1115
"49873",1252,"4","3","1","9","5",0,0,"3","1","C",123
"38725",1582,"2","1","1","9","5",0,0,"3","1","C",519
"56139",1988,"2","1","1","9","1",1,0,"3","1","A",1832
"13949",1592,"1","3","1","9","2",0,0,"3","1","B",1366
"131116",1384,"1","1","1","9","1",1,0,"10","1","A",926
"49794",1662,"3","1","1","9","1",4,0,"3","1","C",123
"10525",1561,"3","1","1","9","3",1,0,"3","1","B",810
"7335",1860,"3","1","1","9","2",0,0,"3","1","C",241
"152176",1979,"1","3","8","9","5",0,0,"13","1","B",3
"47530",2024,"3","3","1","9","1",0,0,"3","1","A",1540
"106787",1476,"3","1","4","5","1",0,0,"3","6","A",924
"120904",1937,"1","3","1","9","1",0,0,"4","1","B",192
"13145",1243,"1","3","1","9","1",0,0,"5","1","C",574
"30472",1685,"2","1","1","9","1",0,0,"98","1","B",735
"89991",2058,"1","2","1","9","1",0,0,"8","1","A",1814
"13725",1432,"3","3","4","9","1",0,0,"3","4","C",397
"68254",1418,"3","1","1","5","1",0,0,"3","1","A",859
"33487",1287,"1","3","2","9","6",1,0,"3","2","B",495
